step,stakeholder,query_type,mechanism,epsilon,error_meters,count_error,completeness,latency_ms
4700,operator,location,laplace,1.0,559.8827433064613,0,1.0,16.913414001464844
4700,operator,count,laplace,1.0,0,0,1.0,0.675201416015625
4800,operator,location,laplace,1.0,593.4582140047049,0,1.0,27.433156967163086
4800,operator,count,laplace,1.0,0,1,1.0,1.2664794921875
4800,planner,location,k_anonymity,5,134.32560316820627,0,1.0,104.28333282470703
4800,planner,count,k_anonymity,5,0,0,1.0,0.0
4900,operator,location,laplace,1.0,549.2770974593844,0,1.0,26.26347541809082
4900,operator,count,laplace,1.0,0,0,1.0,0.0
5000,operator,location,laplace,1.0,587.6034818873443,0,1.0,20.521879196166992
5000,operator,count,laplace,1.0,0,6,1.0,0.0
5100,operator,location,laplace,1.0,577.8605826616777,0,1.0,14.275550842285156
5100,operator,count,laplace,1.0,0,0,1.0,0.0
5100,planner,location,k_anonymity,5,145.20001691342972,0,1.0,120.10550498962402
5100,planner,count,k_anonymity,5,0,0,1.0,0.0
5200,operator,location,laplace,1.0,536.7412209894017,0,1.0,13.15164566040039
5200,operator,count,laplace,1.0,0,0,1.0,0.0
5300,operator,location,laplace,1.0,570.0018381657902,0,1.0,17.14611053466797
5300,operator,count,laplace,1.0,0,1,1.0,0.0
5400,operator,location,laplace,1.0,562.6445730066787,0,1.0,22.48668670654297
5400,operator,count,laplace,1.0,0,0,1.0,0.0
5400,planner,location,k_anonymity,5,122.58483405678469,0,1.0,124.26352500915527
5400,planner,count,k_anonymity,5,0,0,1.0,0.0
5500,operator,location,laplace,1.0,534.4594559130132,0,1.0,13.251543045043945
5500,operator,count,laplace,1.0,0,0,1.0,0.0
5600,operator,location,laplace,1.0,557.5178717586097,0,1.0,13.481378555297852
5600,operator,count,laplace,1.0,0,1,1.0,0.0
5700,operator,location,laplace,1.0,592.91084918497,0,1.0,17.307043075561523
5700,operator,count,laplace,1.0,0,2,1.0,0.9331703186035156
5700,planner,location,k_anonymity,5,102.21590490899455,0,1.0,130.78927993774414
5700,planner,count,k_anonymity,5,0,0,1.0,0.0
5800,operator,location,laplace,1.0,507.29402695053284,0,1.0,27.343034744262695
5800,operator,count,laplace,1.0,0,1,1.0,1.0101795196533203
5900,operator,location,laplace,1.0,547.1131709233234,0,1.0,21.517276763916016
5900,operator,count,laplace,1.0,0,2,1.0,0.0
6000,operator,location,laplace,1.0,580.1268217249259,0,1.0,18.152952194213867
6000,operator,count,laplace,1.0,0,1,1.0,0.0
6000,planner,location,k_anonymity,5,100.20552517230148,0,1.0,131.29806518554688
6000,planner,count,k_anonymity,5,0,0,1.0,0.0
6100,operator,location,laplace,1.0,555.3146757490468,0,1.0,22.874116897583008
6100,operator,count,laplace,1.0,0,2,1.0,0.0
6200,operator,location,laplace,1.0,511.32774814777474,0,1.0,20.561933517456055
6200,operator,count,laplace,1.0,0,0,1.0,1.0449886322021484
6300,operator,location,laplace,1.0,579.4024165312015,0,1.0,28.10192108154297
6300,operator,count,laplace,1.0,0,1,1.0,2.3088455200195312
6300,planner,location,k_anonymity,5,118.65039627222431,0,1.0,139.46032524108887
6300,planner,count,k_anonymity,5,0,0,1.0,0.0
6400,operator,location,laplace,1.0,573.494792768846,0,1.0,22.657155990600586
6400,operator,count,laplace,1.0,0,2,1.0,0.0
